OccurredOn,Date,Time,LRWS-11-01_SPACE_AIR_CO2,LRWS-11-01_SPACE_AIR_HUMID,LRWS-11-01_SPACE_AIR_PRESSURE,LRWS-11-01_SPACE_AIR_TEMP
2025-10-02 00:39:00,2025-10-02,00:39:00,510.0,72.0,1008.6,24.1
2025-10-02 00:40:00,2025-10-02,00:40:00,510.0,72.0,1008.6,24.1
2025-10-02 00:41:00,2025-10-02,00:41:00,510.0,72.0,1008.6,24.1
2025-10-02 00:42:00,2025-10-02,00:42:00,510.0,72.0,1008.6,24.1
2025-10-02 00:43:00,2025-10-02,00:43:00,510.0,72.0,1008.6,24.1
2025-10-02 00:44:00,2025-10-02,00:44:00,510.0,72.0,1008.6,24.1
2025-10-02 00:45:00,2025-10-02,00:45:00,510.0,72.0,1008.6,24.1
2025-10-02 00:46:00,2025-10-02,00:46:00,510.0,72.0,1008.6,24.1
2025-10-02 00:47:00,2025-10-02,00:47:00,510.0,72.0,1008.6,24.1
2025-10-02 00:48:00,2025-10-02,00:48:00,514.0,72.0,1008.5,24.1
2025-10-02 00:49:00,2025-10-02,00:49:00,514.0,72.0,1008.5,24.1
2025-10-02 00:50:00,2025-10-02,00:50:00,514.0,72.0,1008.5,24.1
2025-10-02 00:51:00,2025-10-02,00:51:00,514.0,72.0,1008.5,24.1
2025-10-02 00:52:00,2025-10-02,00:52:00,514.0,72.0,1008.5,24.1
2025-10-02 00:53:00,2025-10-02,00:53:00,514.0,72.0,1008.5,24.1
2025-10-02 00:54:00,2025-10-02,00:54:00,514.0,72.0,1008.5,24.1
2025-10-02 00:55:00,2025-10-02,00:55:00,514.0,72.0,1008.5,24.1
2025-10-02 00:56:00,2025-10-02,00:56:00,514.0,72.0,1008.5,24.1
2025-10-02 00:57:00,2025-10-02,00:57:00,514.0,72.0,1008.5,24.1
2025-10-02 00:58:00,2025-10-02,00:58:00,519.0,72.5,1008.4,24.1
2025-10-02 00:59:00,2025-10-02,00:59:00,519.0,72.5,1008.4,24.1
2025-10-02 01:00:00,2025-10-02,01:00:00,519.0,72.5,1008.4,24.1
2025-10-02 01:01:00,2025-10-02,01:01:00,519.0,72.5,1008.4,24.1
2025-10-02 01:02:00,2025-10-02,01:02:00,519.0,72.5,1008.4,24.1
2025-10-02 01:03:00,2025-10-02,01:03:00,519.0,72.5,1008.4,24.1
2025-10-02 01:04:00,2025-10-02,01:04:00,519.0,72.5,1008.4,24.1
2025-10-02 01:05:00,2025-10-02,01:05:00,519.0,72.5,1008.4,24.1
2025-10-02 01:06:00,2025-10-02,01:06:00,519.0,72.5,1008.4,24.1
2025-10-02 01:07:00,2025-10-02,01:07:00,519.0,72.5,1008.4,24.1
2025-10-02 01:08:00,2025-10-02,01:08:00,521.0,72.5,1008.2,24.2
2025-10-02 01:09:00,2025-10-02,01:09:00,521.0,72.5,1008.2,24.2
2025-10-02 01:10:00,2025-10-02,01:10:00,521.0,72.5,1008.2,24.2
2025-10-02 01:11:00,2025-10-02,01:11:00,521.0,72.5,1008.2,24.2
2025-10-02 01:12:00,2025-10-02,01:12:00,521.0,72.5,1008.2,24.2
2025-10-02 01:13:00,2025-10-02,01:13:00,521.0,72.5,1008.2,24.2
2025-10-02 01:14:00,2025-10-02,01:14:00,521.0,72.5,1008.2,24.2
2025-10-02 01:15:00,2025-10-02,01:15:00,521.0,72.5,1008.2,24.2
2025-10-02 01:16:00,2025-10-02,01:16:00,521.0,72.5,1008.2,24.2
2025-10-02 01:17:00,2025-10-02,01:17:00,521.0,72.5,1008.2,24.2
2025-10-02 01:18:00,2025-10-02,01:18:00,523.0,72.5,1008.0,24.2
2025-10-02 01:19:00,2025-10-02,01:19:00,523.0,72.5,1008.0,24.2
2025-10-02 01:20:00,2025-10-02,01:20:00,523.0,72.5,1008.0,24.2
2025-10-02 01:21:00,2025-10-02,01:21:00,523.0,72.5,1008.0,24.2
2025-10-02 01:22:00,2025-10-02,01:22:00,523.0,72.5,1008.0,24.2
2025-10-02 01:23:00,2025-10-02,01:23:00,523.0,72.5,1008.0,24.2
2025-10-02 01:24:00,2025-10-02,01:24:00,523.0,72.5,1008.0,24.2
2025-10-02 01:25:00,2025-10-02,01:25:00,523.0,72.5,1008.0,24.2
2025-10-02 01:26:00,2025-10-02,01:26:00,523.0,72.5,1008.0,24.2
2025-10-02 01:27:00,2025-10-02,01:27:00,523.0,72.5,1008.0,24.2
2025-10-02 01:28:00,2025-10-02,01:28:00,524.0,72.5,1007.9,24.2
2025-10-02 01:29:00,2025-10-02,01:29:00,524.0,72.5,1007.9,24.2
2025-10-02 01:30:00,2025-10-02,01:30:00,524.0,72.5,1007.9,24.2
2025-10-02 01:31:00,2025-10-02,01:31:00,524.0,72.5,1007.9,24.2
2025-10-02 01:32:00,2025-10-02,01:32:00,524.0,72.5,1007.9,24.2
2025-10-02 01:33:00,2025-10-02,01:33:00,524.0,72.5,1007.9,24.2
2025-10-02 01:34:00,2025-10-02,01:34:00,524.0,72.5,1007.9,24.2
2025-10-02 01:35:00,2025-10-02,01:35:00,524.0,72.5,1007.9,24.2
2025-10-02 01:36:00,2025-10-02,01:36:00,524.0,72.5,1007.9,24.2
2025-10-02 01:37:00,2025-10-02,01:37:00,524.0,72.5,1007.9,24.2
2025-10-02 01:38:00,2025-10-02,01:38:00,526.0,72.5,1007.8,24.3
2025-10-02 01:39:00,2025-10-02,01:39:00,526.0,72.5,1007.8,24.3
2025-10-02 01:40:00,2025-10-02,01:40:00,526.0,72.5,1007.8,24.3
2025-10-02 01:41:00,2025-10-02,01:41:00,526.0,72.5,1007.8,24.3
2025-10-02 01:42:00,2025-10-02,01:42:00,526.0,72.5,1007.8,24.3
2025-10-02 01:43:00,2025-10-02,01:43:00,526.0,72.5,1007.8,24.3
2025-10-02 01:44:00,2025-10-02,01:44:00,526.0,72.5,1007.8,24.3
2025-10-02 01:45:00,2025-10-02,01:45:00,526.0,72.5,1007.8,24.3
2025-10-02 01:46:00,2025-10-02,01:46:00,526.0,72.5,1007.8,24.3
2025-10-02 01:47:00,2025-10-02,01:47:00,526.0,72.5,1007.8,24.3
2025-10-02 01:48:00,2025-10-02,01:48:00,526.0,72.5,1007.7,24.3
2025-10-02 01:49:00,2025-10-02,01:49:00,526.0,72.5,1007.7,24.3
2025-10-02 01:50:00,2025-10-02,01:50:00,526.0,72.5,1007.7,24.3
2025-10-02 01:51:00,2025-10-02,01:51:00,526.0,72.5,1007.7,24.3
2025-10-02 01:52:00,2025-10-02,01:52:00,526.0,72.5,1007.7,24.3
2025-10-02 01:53:00,2025-10-02,01:53:00,526.0,72.5,1007.7,24.3
2025-10-02 01:54:00,2025-10-02,01:54:00,526.0,72.5,1007.7,24.3
2025-10-02 01:55:00,2025-10-02,01:55:00,526.0,72.5,1007.7,24.3
2025-10-02 01:56:00,2025-10-02,01:56:00,526.0,72.5,1007.7,24.3
2025-10-02 01:57:00,2025-10-02,01:57:00,526.0,72.5,1007.7,24.3
2025-10-02 01:58:00,2025-10-02,01:58:00,528.0,72.5,1007.6,24.3
2025-10-02 01:59:00,2025-10-02,01:59:00,528.0,72.5,1007.6,24.3
2025-10-02 02:00:00,2025-10-02,02:00:00,528.0,72.5,1007.6,24.3
2025-10-02 02:01:00,2025-10-02,02:01:00,528.0,72.5,1007.6,24.3
2025-10-02 02:02:00,2025-10-02,02:02:00,528.0,72.5,1007.6,24.3
2025-10-02 02:03:00,2025-10-02,02:03:00,528.0,72.5,1007.6,24.3
2025-10-02 02:04:00,2025-10-02,02:04:00,528.0,72.5,1007.6,24.3
2025-10-02 02:05:00,2025-10-02,02:05:00,528.0,72.5,1007.6,24.3
2025-10-02 02:06:00,2025-10-02,02:06:00,528.0,72.5,1007.6,24.3
2025-10-02 02:07:00,2025-10-02,02:07:00,528.0,72.5,1007.6,24.3
2025-10-02 02:08:00,2025-10-02,02:08:00,528.0,72.5,1007.4,24.4
2025-10-02 02:09:00,2025-10-02,02:09:00,528.0,72.5,1007.4,24.4
2025-10-02 02:10:00,2025-10-02,02:10:00,528.0,72.5,1007.4,24.4
2025-10-02 02:11:00,2025-10-02,02:11:00,528.0,72.5,1007.4,24.4
2025-10-02 02:12:00,2025-10-02,02:12:00,528.0,72.5,1007.4,24.4
2025-10-02 02:13:00,2025-10-02,02:13:00,528.0,72.5,1007.4,24.4
2025-10-02 02:14:00,2025-10-02,02:14:00,528.0,72.5,1007.4,24.4
2025-10-02 02:15:00,2025-10-02,02:15:00,528.0,72.5,1007.4,24.4
2025-10-02 02:16:00,2025-10-02,02:16:00,528.0,72.5,1007.4,24.4
2025-10-02 02:17:00,2025-10-02,02:17:00,528.0,72.5,1007.4,24.4
2025-10-02 02:18:00,2025-10-02,02:18:00,529.0,72.5,1007.3,24.4
2025-10-02 02:19:00,2025-10-02,02:19:00,529.0,72.5,1007.3,24.4
2025-10-02 02:20:00,2025-10-02,02:20:00,529.0,72.5,1007.3,24.4
2025-10-02 02:21:00,2025-10-02,02:21:00,529.0,72.5,1007.3,24.4
2025-10-02 02:22:00,2025-10-02,02:22:00,529.0,72.5,1007.3,24.4
2025-10-02 02:23:00,2025-10-02,02:23:00,529.0,72.5,1007.3,24.4
2025-10-02 02:24:00,2025-10-02,02:24:00,529.0,72.5,1007.3,24.4
2025-10-02 02:25:00,2025-10-02,02:25:00,529.0,72.5,1007.3,24.4
2025-10-02 02:26:00,2025-10-02,02:26:00,529.0,72.5,1007.3,24.4
2025-10-02 02:27:00,2025-10-02,02:27:00,529.0,72.5,1007.3,24.4
2025-10-02 02:28:00,2025-10-02,02:28:00,529.0,72.5,1007.1,24.4
2025-10-02 02:29:00,2025-10-02,02:29:00,529.0,72.5,1007.1,24.4
2025-10-02 02:30:00,2025-10-02,02:30:00,529.0,72.5,1007.1,24.4
2025-10-02 02:31:00,2025-10-02,02:31:00,529.0,72.5,1007.1,24.4
2025-10-02 02:32:00,2025-10-02,02:32:00,529.0,72.5,1007.1,24.4
2025-10-02 02:33:00,2025-10-02,02:33:00,529.0,72.5,1007.1,24.4
2025-10-02 02:34:00,2025-10-02,02:34:00,529.0,72.5,1007.1,24.4
2025-10-02 02:35:00,2025-10-02,02:35:00,529.0,72.5,1007.1,24.4
2025-10-02 02:36:00,2025-10-02,02:36:00,529.0,72.5,1007.1,24.4
2025-10-02 02:37:00,2025-10-02,02:37:00,529.0,72.5,1007.1,24.4
2025-10-02 02:38:00,2025-10-02,02:38:00,530.0,72.5,1007.1,24.5
2025-10-02 02:39:00,2025-10-02,02:39:00,530.0,72.5,1007.1,24.5
2025-10-02 02:40:00,2025-10-02,02:40:00,530.0,72.5,1007.1,24.5
2025-10-02 02:41:00,2025-10-02,02:41:00,530.0,72.5,1007.1,24.5
2025-10-02 02:42:00,2025-10-02,02:42:00,530.0,72.5,1007.1,24.5
2025-10-02 02:43:00,2025-10-02,02:43:00,530.0,72.5,1007.1,24.5
2025-10-02 02:44:00,2025-10-02,02:44:00,530.0,72.5,1007.1,24.5
2025-10-02 02:45:00,2025-10-02,02:45:00,530.0,72.5,1007.1,24.5
2025-10-02 02:46:00,2025-10-02,02:46:00,530.0,72.5,1007.1,24.5
2025-10-02 02:47:00,2025-10-02,02:47:00,530.0,72.5,1007.1,24.5
2025-10-02 02:48:00,2025-10-02,02:48:00,530.0,72.5,1006.9,24.5
2025-10-02 02:49:00,2025-10-02,02:49:00,530.0,72.5,1006.9,24.5
2025-10-02 02:50:00,2025-10-02,02:50:00,530.0,72.5,1006.9,24.5
2025-10-02 02:51:00,2025-10-02,02:51:00,530.0,72.5,1006.9,24.5
2025-10-02 02:52:00,2025-10-02,02:52:00,530.0,72.5,1006.9,24.5
2025-10-02 02:53:00,2025-10-02,02:53:00,530.0,72.5,1006.9,24.5
2025-10-02 02:54:00,2025-10-02,02:54:00,530.0,72.5,1006.9,24.5
2025-10-02 02:55:00,2025-10-02,02:55:00,530.0,72.5,1006.9,24.5
2025-10-02 02:56:00,2025-10-02,02:56:00,530.0,72.5,1006.9,24.5
2025-10-02 02:57:00,2025-10-02,02:57:00,530.0,72.5,1006.9,24.5
2025-10-02 02:58:00,2025-10-02,02:58:00,530.0,72.5,1007.0,24.5
2025-10-02 02:59:00,2025-10-02,02:59:00,530.0,72.5,1007.0,24.5
2025-10-02 03:00:00,2025-10-02,03:00:00,530.0,72.5,1007.0,24.5
2025-10-02 03:01:00,2025-10-02,03:01:00,530.0,72.5,1007.0,24.5
2025-10-02 03:02:00,2025-10-02,03:02:00,530.0,72.5,1007.0,24.5
2025-10-02 03:03:00,2025-10-02,03:03:00,530.0,72.5,1007.0,24.5
2025-10-02 03:04:00,2025-10-02,03:04:00,530.0,72.5,1007.0,24.5
2025-10-02 03:05:00,2025-10-02,03:05:00,530.0,72.5,1007.0,24.5
2025-10-02 03:06:00,2025-10-02,03:06:00,530.0,72.5,1007.0,24.5
2025-10-02 03:07:00,2025-10-02,03:07:00,530.0,72.5,1007.0,24.5
2025-10-02 03:08:00,2025-10-02,03:08:00,531.0,72.5,1006.9,24.6
2025-10-02 03:09:00,2025-10-02,03:09:00,531.0,72.5,1006.9,24.6
2025-10-02 03:10:00,2025-10-02,03:10:00,531.0,72.5,1006.9,24.6
2025-10-02 03:11:00,2025-10-02,03:11:00,531.0,72.5,1006.9,24.6
2025-10-02 03:12:00,2025-10-02,03:12:00,531.0,72.5,1006.9,24.6
2025-10-02 03:13:00,2025-10-02,03:13:00,531.0,72.5,1006.9,24.6
2025-10-02 03:14:00,2025-10-02,03:14:00,531.0,72.5,1006.9,24.6
2025-10-02 03:15:00,2025-10-02,03:15:00,531.0,72.5,1006.9,24.6
2025-10-02 03:16:00,2025-10-02,03:16:00,531.0,72.5,1006.9,24.6
2025-10-02 03:17:00,2025-10-02,03:17:00,531.0,72.5,1006.9,24.6
2025-10-02 03:18:00,2025-10-02,03:18:00,532.0,73.0,1006.9,24.6
2025-10-02 03:19:00,2025-10-02,03:19:00,532.0,73.0,1006.9,24.6
2025-10-02 03:20:00,2025-10-02,03:20:00,532.0,73.0,1006.9,24.6
2025-10-02 03:21:00,2025-10-02,03:21:00,532.0,73.0,1006.9,24.6
2025-10-02 03:22:00,2025-10-02,03:22:00,532.0,73.0,1006.9,24.6
2025-10-02 03:23:00,2025-10-02,03:23:00,532.0,73.0,1006.9,24.6
2025-10-02 03:24:00,2025-10-02,03:24:00,532.0,73.0,1006.9,24.6
2025-10-02 03:25:00,2025-10-02,03:25:00,532.0,73.0,1006.9,24.6
2025-10-02 03:26:00,2025-10-02,03:26:00,532.0,73.0,1006.9,24.6
2025-10-02 03:27:00,2025-10-02,03:27:00,532.0,73.0,1006.9,24.6
2025-10-02 03:28:00,2025-10-02,03:28:00,533.0,73.0,1007.0,24.6
2025-10-02 03:29:00,2025-10-02,03:29:00,533.0,73.0,1007.0,24.6
2025-10-02 03:30:00,2025-10-02,03:30:00,533.0,73.0,1007.0,24.6
2025-10-02 03:31:00,2025-10-02,03:31:00,533.0,73.0,1007.0,24.6
2025-10-02 03:32:00,2025-10-02,03:32:00,533.0,73.0,1007.0,24.6
2025-10-02 03:33:00,2025-10-02,03:33:00,533.0,73.0,1007.0,24.6
2025-10-02 03:34:00,2025-10-02,03:34:00,533.0,73.0,1007.0,24.6
2025-10-02 03:35:00,2025-10-02,03:35:00,533.0,73.0,1007.0,24.6
2025-10-02 03:36:00,2025-10-02,03:36:00,533.0,73.0,1007.0,24.6
2025-10-02 03:37:00,2025-10-02,03:37:00,533.0,73.0,1007.0,24.6
2025-10-02 03:38:00,2025-10-02,03:38:00,532.0,73.0,1007.0,24.6
2025-10-02 03:39:00,2025-10-02,03:39:00,532.0,73.0,1007.0,24.6
2025-10-02 03:40:00,2025-10-02,03:40:00,532.0,73.0,1007.0,24.6
2025-10-02 03:41:00,2025-10-02,03:41:00,532.0,73.0,1007.0,24.6
2025-10-02 03:42:00,2025-10-02,03:42:00,532.0,73.0,1007.0,24.6
2025-10-02 03:43:00,2025-10-02,03:43:00,532.0,73.0,1007.0,24.6
2025-10-02 03:44:00,2025-10-02,03:44:00,532.0,73.0,1007.0,24.6
2025-10-02 03:45:00,2025-10-02,03:45:00,532.0,73.0,1007.0,24.6
2025-10-02 03:46:00,2025-10-02,03:46:00,532.0,73.0,1007.0,24.6
2025-10-02 03:47:00,2025-10-02,03:47:00,532.0,73.0,1007.0,24.6
2025-10-02 03:48:00,2025-10-02,03:48:00,532.0,73.0,1007.0,24.7
2025-10-02 03:49:00,2025-10-02,03:49:00,532.0,73.0,1007.0,24.7
2025-10-02 03:50:00,2025-10-02,03:50:00,532.0,73.0,1007.0,24.7
2025-10-02 03:51:00,2025-10-02,03:51:00,532.0,73.0,1007.0,24.7
2025-10-02 03:52:00,2025-10-02,03:52:00,532.0,73.0,1007.0,24.7
2025-10-02 03:53:00,2025-10-02,03:53:00,532.0,73.0,1007.0,24.7
2025-10-02 03:54:00,2025-10-02,03:54:00,532.0,73.0,1007.0,24.7
2025-10-02 03:55:00,2025-10-02,03:55:00,532.0,73.0,1007.0,24.7
2025-10-02 03:56:00,2025-10-02,03:56:00,532.0,73.0,1007.0,24.7
2025-10-02 03:57:00,2025-10-02,03:57:00,532.0,73.0,1007.0,24.7
2025-10-02 03:58:00,2025-10-02,03:58:00,532.0,73.0,1007.0,24.7
2025-10-02 03:59:00,2025-10-02,03:59:00,532.0,73.0,1007.0,24.7
2025-10-02 04:00:00,2025-10-02,04:00:00,532.0,73.0,1007.0,24.7
2025-10-02 04:01:00,2025-10-02,04:01:00,532.0,73.0,1007.0,24.7
2025-10-02 04:02:00,2025-10-02,04:02:00,532.0,73.0,1007.0,24.7
2025-10-02 04:03:00,2025-10-02,04:03:00,532.0,73.0,1007.0,24.7
2025-10-02 04:04:00,2025-10-02,04:04:00,532.0,73.0,1007.0,24.7
2025-10-02 04:05:00,2025-10-02,04:05:00,532.0,73.0,1007.0,24.7
2025-10-02 04:06:00,2025-10-02,04:06:00,532.0,73.0,1007.0,24.7
2025-10-02 04:07:00,2025-10-02,04:07:00,532.0,73.0,1007.0,24.7
2025-10-02 04:08:00,2025-10-02,04:08:00,532.0,73.0,1007.0,24.7
2025-10-02 04:09:00,2025-10-02,04:09:00,532.0,73.0,1007.0,24.7
2025-10-02 04:10:00,2025-10-02,04:10:00,532.0,73.0,1007.0,24.7
2025-10-02 04:11:00,2025-10-02,04:11:00,532.0,73.0,1007.0,24.7
2025-10-02 04:12:00,2025-10-02,04:12:00,532.0,73.0,1007.0,24.7
2025-10-02 04:13:00,2025-10-02,04:13:00,532.0,73.0,1007.0,24.7
2025-10-02 04:14:00,2025-10-02,04:14:00,532.0,73.0,1007.0,24.7
2025-10-02 04:15:00,2025-10-02,04:15:00,532.0,73.0,1007.0,24.7
2025-10-02 04:16:00,2025-10-02,04:16:00,532.0,73.0,1007.0,24.7
2025-10-02 04:17:00,2025-10-02,04:17:00,532.0,73.0,1007.0,24.7
2025-10-02 04:18:00,2025-10-02,04:18:00,532.0,73.0,1007.0,24.7
2025-10-02 04:19:00,2025-10-02,04:19:00,532.0,73.0,1007.0,24.7
2025-10-02 04:20:00,2025-10-02,04:20:00,532.0,73.0,1007.0,24.7
2025-10-02 04:21:00,2025-10-02,04:21:00,532.0,73.0,1007.0,24.7
2025-10-02 04:22:00,2025-10-02,04:22:00,532.0,73.0,1007.0,24.7
2025-10-02 04:23:00,2025-10-02,04:23:00,532.0,73.0,1007.0,24.7
2025-10-02 04:24:00,2025-10-02,04:24:00,532.0,73.0,1007.0,24.7
2025-10-02 04:25:00,2025-10-02,04:25:00,532.0,73.0,1007.0,24.7
2025-10-02 04:26:00,2025-10-02,04:26:00,532.0,73.0,1007.0,24.7
2025-10-02 04:27:00,2025-10-02,04:27:00,532.0,73.0,1007.0,24.7
2025-10-02 04:28:00,2025-10-02,04:28:00,532.0,73.0,1006.9,24.7
2025-10-02 04:29:00,2025-10-02,04:29:00,532.0,73.0,1006.9,24.7
2025-10-02 04:30:00,2025-10-02,04:30:00,532.0,73.0,1006.9,24.7
2025-10-02 04:31:00,2025-10-02,04:31:00,532.0,73.0,1006.9,24.7
2025-10-02 04:32:00,2025-10-02,04:32:00,532.0,73.0,1006.9,24.7
2025-10-02 04:33:00,2025-10-02,04:33:00,532.0,73.0,1006.9,24.7
2025-10-02 04:34:00,2025-10-02,04:34:00,532.0,73.0,1006.9,24.7
2025-10-02 04:35:00,2025-10-02,04:35:00,532.0,73.0,1006.9,24.7
2025-10-02 04:36:00,2025-10-02,04:36:00,532.0,73.0,1006.9,24.7
2025-10-02 04:37:00,2025-10-02,04:37:00,532.0,73.0,1006.9,24.7
2025-10-02 04:38:00,2025-10-02,04:38:00,531.0,73.5,1006.9,24.8
2025-10-02 04:39:00,2025-10-02,04:39:00,531.0,73.5,1006.9,24.8
2025-10-02 04:40:00,2025-10-02,04:40:00,531.0,73.5,1006.9,24.8
2025-10-02 04:41:00,2025-10-02,04:41:00,531.0,73.5,1006.9,24.8
2025-10-02 04:42:00,2025-10-02,04:42:00,531.0,73.5,1006.9,24.8
2025-10-02 04:43:00,2025-10-02,04:43:00,531.0,73.5,1006.9,24.8
2025-10-02 04:44:00,2025-10-02,04:44:00,531.0,73.5,1006.9,24.8
2025-10-02 04:45:00,2025-10-02,04:45:00,531.0,73.5,1006.9,24.8
2025-10-02 04:46:00,2025-10-02,04:46:00,531.0,73.5,1006.9,24.8
2025-10-02 04:47:00,2025-10-02,04:47:00,531.0,73.5,1006.9,24.8
2025-10-02 04:48:00,2025-10-02,04:48:00,531.0,73.5,1006.9,24.8
2025-10-02 04:49:00,2025-10-02,04:49:00,531.0,73.5,1006.9,24.8
2025-10-02 04:50:00,2025-10-02,04:50:00,531.0,73.5,1006.9,24.8
2025-10-02 04:51:00,2025-10-02,04:51:00,531.0,73.5,1006.9,24.8
2025-10-02 04:52:00,2025-10-02,04:52:00,531.0,73.5,1006.9,24.8
2025-10-02 04:53:00,2025-10-02,04:53:00,531.0,73.5,1006.9,24.8
2025-10-02 04:54:00,2025-10-02,04:54:00,531.0,73.5,1006.9,24.8
2025-10-02 04:55:00,2025-10-02,04:55:00,531.0,73.5,1006.9,24.8
2025-10-02 04:56:00,2025-10-02,04:56:00,531.0,73.5,1006.9,24.8
2025-10-02 04:57:00,2025-10-02,04:57:00,531.0,73.5,1006.9,24.8
2025-10-02 04:58:00,2025-10-02,04:58:00,531.0,73.5,1007.0,24.8
2025-10-02 04:59:00,2025-10-02,04:59:00,531.0,73.5,1007.0,24.8
2025-10-02 05:00:00,2025-10-02,05:00:00,531.0,73.5,1007.0,24.8
2025-10-02 05:01:00,2025-10-02,05:01:00,531.0,73.5,1007.0,24.8
2025-10-02 05:02:00,2025-10-02,05:02:00,531.0,73.5,1007.0,24.8
2025-10-02 05:03:00,2025-10-02,05:03:00,531.0,73.5,1007.0,24.8
2025-10-02 05:04:00,2025-10-02,05:04:00,531.0,73.5,1007.0,24.8
2025-10-02 05:05:00,2025-10-02,05:05:00,531.0,73.5,1007.0,24.8
2025-10-02 05:06:00,2025-10-02,05:06:00,531.0,73.5,1007.0,24.8
2025-10-02 05:07:00,2025-10-02,05:07:00,531.0,73.5,1007.0,24.8
2025-10-02 05:08:00,2025-10-02,05:08:00,531.0,73.5,1007.2,24.8
2025-10-02 05:09:00,2025-10-02,05:09:00,531.0,73.5,1007.2,24.8
2025-10-02 05:10:00,2025-10-02,05:10:00,531.0,73.5,1007.2,24.8
2025-10-02 05:11:00,2025-10-02,05:11:00,531.0,73.5,1007.2,24.8
2025-10-02 05:12:00,2025-10-02,05:12:00,531.0,73.5,1007.2,24.8
2025-10-02 05:13:00,2025-10-02,05:13:00,531.0,73.5,1007.2,24.8
2025-10-02 05:14:00,2025-10-02,05:14:00,531.0,73.5,1007.2,24.8
2025-10-02 05:15:00,2025-10-02,05:15:00,531.0,73.5,1007.2,24.8
2025-10-02 05:16:00,2025-10-02,05:16:00,531.0,73.5,1007.2,24.8
2025-10-02 05:17:00,2025-10-02,05:17:00,531.0,73.5,1007.2,24.8
2025-10-02 05:18:00,2025-10-02,05:18:00,531.0,73.5,1007.2,24.9
2025-10-02 05:19:00,2025-10-02,05:19:00,531.0,73.5,1007.2,24.9
